datetime,open,high,low,close,volume
2021-02-09,1377,2312.85010,1326,1484.099976,8040
2021-02-10,1785,1785,1530,1654.94995,4398
2021-02-11,1734,1734,1530,1547.84998,1076
2021-02-12,1522.34998,1524.90002,1226.55005,1328.55005,1899
2021-02-16,1338.75,1377,1277.55005,1290.30005,1012
2021-02-17,1326,1328.55005,1086.30005,1114.34998,1145
2021-02-18,1109.25,1137.30005,1032.75,1065.90002,884
2021-02-19,1122,1147.5,1076.099976,1109.25,656
2021-02-22,1109.25,1147.5,1060.80005,1076.099976,405
2021-02-23,1053.15002,1071,961.34998,1022.54999,543
2021-02-24,1002.15002,1338.75,994.5,1119.44995,3803
2021-02-25,1275,1313.25,1178.099976,1234.19995,1804
2021-02-26,1239.30005,1239.30005,1065.90002,1076.099976,784
2021-03-01,1142.40002,1192.89001,1096.5,1170.44995,620
2021-03-02,1224,1399.94995,1198.5,1359.15002,10556
2021-03-03,1428,1657.5,1252.050049,1303.050049,10543
2021-03-04,1280.099976,1282.65002,1027.65002,1147.5,1474
2021-03-05,1091.40002,1139.33997,1007.25,1071,768
2021-03-08,1081.19995,1264.80005,1020,1239.30005,1031
2021-03-09,1144.94995,1201.56006,1076.099976,1116.90002,987
2021-03-10,1116.90002,1134.75,1083.75,1111.80005,295
2021-03-11,1122,1157.69995,1099.050049,1124.55005,304
2021-03-12,1116.90002,1147.5,1083.75,1119.44995,284
2021-03-15,1241.33997,1397.40002,1193.40002,1320.90002,1990
2021-03-16,1320.90002,1448.65503,1264.80005,1315.80005,1067
2021-03-17,1285.19995,1402.5,1280.099976,1377,326
2021-03-18,1359.15002,1430.80505,1290.30005,1323.44995,573
2021-03-19,1326,1402.5,1254.59998,1254.59998,687
2021-03-22,1275,1389.75,1236.75,1348.94995,379
2021-03-23,1282.65002,1317.074951,1234.19995,1267.34998,360
2021-03-24,1275,1371.90002,1082.47498,1086.30005,553
2021-03-25,1086.30005,1134.75,1086.30005,1124.55005,176
